Episode,Reward,Length
844,10.0,11
845,25.0,26
846,43.0,44
847,21.0,22
848,22.0,23
849,10.0,11
850,31.0,32
851,18.0,19
852,9.0,10
853,18.0,19
854,8.0,9
855,16.0,17
856,17.0,18
857,62.0,63
858,31.0,32
859,12.0,13
860,14.0,15
861,27.0,28
862,8.0,9
863,29.0,30
864,20.0,21
865,21.0,22
866,30.0,31
867,16.0,17
868,20.0,21
869,21.0,22
870,15.0,16
871,35.0,36
872,10.0,11
873,42.0,43
874,16.0,17
875,13.0,14
876,9.0,10
877,14.0,15
878,8.0,9
879,8.0,9
880,44.0,45
881,10.0,11
882,11.0,12
883,23.0,24
884,16.0,17
885,55.0,56
886,13.0,14
887,29.0,30
888,19.0,20
889,10.0,11
890,17.0,18
891,25.0,26
892,34.0,35
893,35.0,36
894,13.0,14
895,19.0,20
896,15.0,16
897,23.0,24
898,27.0,28
899,15.0,16
900,12.0,13
901,13.0,14
902,22.0,23
903,8.0,9
904,11.0,12
905,11.0,12
906,30.0,31
907,15.0,16
908,13.0,14
909,11.0,12
910,18.0,19
911,16.0,17
912,16.0,17
913,24.0,25
914,26.0,27
915,39.0,40
916,21.0,22
917,15.0,16
918,25.0,26
919,38.0,39
920,10.0,11
921,37.0,38
922,16.0,17
923,13.0,14
924,7.0,8
925,32.0,33
926,12.0,13
927,19.0,20
928,55.0,56
929,12.0,13
930,22.0,23
931,30.0,31
932,13.0,14
933,11.0,12
934,10.0,11
935,11.0,12
936,61.0,62
937,11.0,12
938,9.0,10
939,12.0,13
940,15.0,16
941,33.0,34
942,22.0,23
943,29.0,30
944,17.0,18
945,32.0,33
946,20.0,21
947,11.0,12
948,11.0,12
949,15.0,16
950,17.0,18
951,19.0,20
952,14.0,15
953,23.0,24
954,24.0,25
955,8.0,9
956,20.0,21
957,13.0,14
958,21.0,22
959,12.0,13
960,23.0,24
961,22.0,23
962,33.0,34
963,28.0,29
964,16.0,17
965,11.0,12
966,23.0,24
967,20.0,21
968,22.0,23
969,17.0,18
970,12.0,13
971,22.0,23
972,11.0,12
973,9.0,10
974,27.0,28
975,29.0,30
976,21.0,22
977,19.0,20
978,41.0,42
979,21.0,22
980,16.0,17
981,9.0,10
982,24.0,25
983,21.0,22
984,15.0,16
985,29.0,30
986,23.0,24
987,12.0,13
988,25.0,26
989,27.0,28
990,27.0,28
991,13.0,14
992,27.0,28
993,8.0,9
994,16.0,17
995,18.0,19
996,25.0,26
997,14.0,15
998,10.0,11
999,42.0,43
1000,14.0,15
1001,15.0,16
1002,14.0,15
1003,18.0,19
1004,19.0,20
1005,17.0,18
1006,15.0,16
1007,9.0,10
1008,10.0,11
1009,22.0,23
1010,23.0,24
1011,23.0,24
1012,34.0,35
1013,18.0,19
1014,31.0,32
1015,22.0,23
1016,21.0,22
1017,20.0,21
1018,32.0,33
1019,14.0,15
1020,15.0,16
1021,18.0,19
1022,19.0,20
1023,11.0,12
1024,11.0,12
1025,25.0,26
1026,23.0,24
1027,18.0,19
1028,13.0,14
1029,46.0,47
1030,10.0,11
1031,20.0,21
1032,14.0,15
1033,13.0,14
1034,30.0,31
1035,8.0,9
1036,20.0,21
1037,17.0,18
1038,19.0,20
1039,44.0,45
1040,23.0,24
1041,13.0,14
1042,19.0,20
1043,12.0,13
1044,12.0,13
1045,23.0,24
1046,12.0,13
1047,16.0,17
1048,26.0,27
1049,21.0,22
1050,9.0,10
1051,10.0,11
1052,35.0,36
1053,12.0,13
1054,14.0,15
1055,11.0,12
1056,22.0,23
1057,9.0,10
1058,11.0,12
1059,11.0,12
1060,14.0,15
1061,28.0,29
1062,25.0,26
1063,16.0,17
1064,21.0,22
1065,37.0,38
1066,29.0,30
1067,11.0,12
1068,9.0,10
1069,30.0,31
1070,45.0,46
1071,38.0,39
1072,26.0,27
1073,21.0,22
1074,16.0,17
1075,10.0,11
1076,19.0,20
1077,21.0,22
1078,43.0,44
1079,15.0,16
1080,17.0,18
1081,13.0,14
1082,17.0,18
1083,10.0,11
1084,21.0,22
1085,12.0,13
