Episode,Reward,Length
832,121.0,200
833,126.0,165
834,137.0,158
835,137.0,162
836,137.0,156
837,120.0,189
838,108.0,201
839,100.0,276
840,103.0,240
841,103.0,259
842,108.0,197
843,104.0,243
844,109.0,338
845,109.0,282
846,105.0,209
847,105.0,501
848,108.0,501
849,114.0,224
850,111.0,501
851,110.0,89
852,11.0,374
853,107.0,409
854,111.0,374
855,113.0,209
856,110.0,230
857,116.0,283
858,116.0,501
859,119.0,127
860,122.0,258
861,120.0,286
862,122.0,164
863,119.0,198
864,127.0,196
865,192.0,35
866,130.0,184
867,129.0,14
868,132.0,193
869,132.0,35
870,110.0,251
871,128.0,202
872,110.0,169
873,113.0,254
874,116.0,501
875,90.0,193
876,121.0,195
877,138.0,194
878,130.0,238
879,139.0,501
880,139.0,312
881,127.0,49
882,148.0,501
883,206.0,195
884,71.0,501
885,127.0,197
886,131.0,501
887,77.0,34
888,151.0,239
889,142.0,460
890,87.0,501
891,87.0,220
892,152.0,501
893,313.0,501
894,451.0,501
895,482.0,163
896,500.0,28
897,124.0,182
898,104.0,501
899,138.0,151
900,137.0,176
901,204.0,200
902,204.0,195
903,152.0,155
904,133.0,216
905,123.0,501
906,164.0,188
907,201.0,501
908,132.0,501
909,138.0,255
910,180.0,501
911,130.0,501
912,189.0,501
913,189.0,501
914,168.0,501
915,198.0,501
916,163.0,377
917,156.0,501
918,160.0,501
919,154.0,242
920,187.0,135
921,199.0,501
922,274.0,14
923,238.0,501
924,238.0,501
925,257.0,410
926,195.0,375
927,241.0,99
928,336.0,32
929,280.0,371
930,207.0,48
931,500.0,30
932,500.0,31
933,222.0,73
934,500.0,40
935,500.0,431
936,87.0,204
937,372.0,219
938,407.0,223
939,372.0,339
940,207.0,403
941,228.0,212
942,281.0,167
943,500.0,172
944,125.0,203
945,256.0,198
946,256.0,269
947,284.0,165
948,162.0,179
949,196.0,217
950,194.0,140
951,33.0,167
952,182.0,168
953,12.0,173
954,191.0,171
955,33.0,170
956,249.0,184
957,249.0,171
958,200.0,159
959,167.0,170
960,252.0,151
961,500.0,144
962,191.0,239
963,193.0,176
964,192.0,160
965,236.0,180
966,500.0,198
967,310.0,200
968,310.0,203
969,47.0,186
970,500.0,270
971,193.0,244
972,500.0,181
973,195.0,328
974,500.0,169
975,32.0,194
976,237.0,134
977,458.0,210
978,500.0,13
979,500.0,254
980,218.0,489
981,500.0,200
982,500.0,204
983,500.0,154
984,161.0,160
985,26.0,200
986,180.0,203
987,500.0,211
988,149.0,200
989,174.0,230
990,174.0,232
991,198.0,235
992,193.0,237
993,153.0,243
994,214.0,276
995,500.0,295
996,186.0,279
997,500.0,312
998,500.0,352
999,253.0,301
1000,500.0,501
1001,500.0,173
1002,500.0,183
1003,500.0,186
1004,500.0,196
1005,500.0,281
1006,500.0,184
1007,375.0,177
1008,500.0,211
1009,500.0,493
1010,240.0,273
1011,133.0,501
1012,133.0,371
1013,500.0,340
1014,12.0,218
1015,500.0,273
1016,500.0,449
1017,408.0,501
1018,373.0,268
1019,97.0,501
1020,30.0,501
1021,369.0,379
1022,46.0,501
1023,46.0,436
1024,28.0,338
1025,29.0,338
1026,71.0,295
1027,38.0,326
1028,429.0,343
1029,202.0,501
1030,217.0,501
1031,221.0,160
1032,337.0,104
1033,401.0,42
1034,401.0,501
1035,210.0,501
1036,165.0,501
1037,170.0,501
1038,201.0,501
1039,196.0,263
1040,267.0,127
1041,163.0,118
