Episode,Reward,Length
1251,500.0,135
1252,500.0,125
1253,395.0,130
1254,395.0,16
1255,500.0,122
1256,500.0,125
1257,500.0,160
1258,500.0,137
1259,500.0,146
1260,500.0,501
1261,500.0,135
1262,500.0,129
1263,500.0,150
1264,500.0,501
1265,500.0,158
1266,500.0,162
1267,500.0,169
1268,500.0,156
1269,500.0,183
1270,500.0,203
1271,500.0,235
1272,500.0,272
1273,21.0,288
1274,20.0,262
1275,15.0,240
1276,15.0,239
1277,16.0,255
1278,18.0,321
1279,20.0,290
1280,16.0,289
1281,19.0,281
1282,15.0,278
1283,13.0,249
1284,14.0,274
1285,21.0,288
1286,21.0,501
1287,21.0,181
1288,17.0,231
1289,12.0,240
1290,12.0,238
1291,11.0,218
1292,14.0,501
1293,15.0,495
1294,12.0,490
1295,15.0,500
1296,15.0,493
1297,15.0,172
1298,15.0,188
1299,500.0,169
1300,202.0,501
1301,500.0,164
1302,500.0,171
1303,500.0,179
1304,500.0,148
1305,500.0,148
1306,500.0,143
1307,500.0,149
1308,500.0,151
1309,500.0,154
1310,142.0,257
1311,123.0,238
1312,500.0,229
1313,383.0,291
1314,500.0,315
1315,500.0,357
1316,500.0,449
1317,500.0,501
1318,500.0,501
1319,500.0,501
1320,500.0,501
1321,500.0,501
1322,500.0,433
1323,500.0,501
1324,500.0,501
1325,500.0,501
1326,500.0,501
1327,500.0,455
1328,309.0,449
1329,237.0,424
1330,500.0,411
1331,500.0,41
1332,500.0,445
1333,500.0,372
1334,500.0,392
1335,500.0,501
1336,500.0,501
1337,500.0,501
1338,500.0,501
1339,500.0,501
1340,500.0,501
1341,500.0,501
1342,500.0,501
1343,500.0,501
1344,500.0,501
1345,500.0,501
1346,500.0,501
1347,500.0,501
1348,338.0,501
1349,257.0,501
1350,259.0,501
1351,221.0,501
1352,171.0,501
1353,171.0,195
1354,137.0,178
1355,131.0,165
1356,131.0,182
1357,127.0,174
1358,128.0,176
1359,125.0,501
1360,137.0,14
1361,139.0,163
1362,137.0,12
1363,139.0,12
1364,139.0,12
1365,137.0,158
1366,142.0,141
1367,133.0,501
1368,131.0,501
1369,134.0,501
1370,125.0,501
1371,127.0,12
1372,139.0,12
1373,125.0,11
1374,135.0,13
1375,135.0,501
1376,133.0,501
1377,123.0,501
1378,128.0,501
1379,14.0,501
1380,120.0,501
1381,123.0,501
1382,158.0,501
1383,135.0,318
1384,144.0,457
1385,500.0,501
1386,500.0,501
1387,133.0,501
1388,127.0,501
1389,148.0,501
1390,500.0,501
1391,156.0,501
1392,160.0,501
1393,167.0,501
1394,154.0,501
1395,181.0,501
1396,201.0,501
1397,201.0,501
1398,233.0,501
1399,270.0,501
1400,286.0,501
1401,260.0,501
1402,238.0,501
1403,237.0,501
1404,253.0,501
1405,319.0,501
1406,288.0,501
1407,287.0,501
1408,287.0,501
1409,279.0,501
1410,276.0,501
1411,247.0,501
1412,272.0,80
1413,286.0,293
1414,500.0,251
1415,179.0,372
1416,229.0,501
1417,238.0,340
1418,236.0,501
1419,236.0,501
1420,216.0,501
1421,500.0,501
1422,493.0,501
1423,488.0,257
1424,498.0,501
1425,491.0,501
1426,170.0,501
1427,186.0,501
1428,167.0,501
1429,500.0,501
1430,500.0,501
1431,162.0,501
1432,169.0,501
1433,177.0,501
1434,146.0,182
1435,146.0,146
1436,141.0,144
1437,147.0,136
1438,149.0,131
1439,152.0,126
1440,255.0,131
1441,255.0,139
1442,236.0,141
1443,227.0,138
1444,289.0,127
1445,313.0,137
1446,355.0,195
1447,447.0,501
1448,500.0,51
1449,500.0,54
1450,500.0,39
1451,500.0,114
1452,500.0,120
1453,500.0,117
1454,431.0,118
1455,500.0,111
1456,500.0,105
1457,500.0,101
1458,500.0,124
1459,453.0,172
1460,447.0,120
1461,422.0,144
1462,409.0,218
1463,409.0,119
1464,39.0,111
1465,443.0,106
1466,370.0,108
1467,390.0,107
1468,500.0,104
1469,500.0,102
1470,500.0,104
1471,500.0,108
1472,500.0,104
1473,500.0,104
1474,500.0,101
1475,500.0,119
1476,500.0,101
1477,500.0,101
1478,500.0,102
1479,500.0,104
1480,500.0,97
1481,500.0,104
1482,500.0,100
1483,500.0,97
1484,500.0,94
1485,500.0,103
1486,500.0,99
1487,500.0,105
1488,193.0,103
1489,176.0,99
1490,163.0,96
1491,180.0,97
1492,172.0,101
1493,174.0,98
1494,500.0,101
1495,12.0,100
1496,12.0,104
1497,161.0,105
1498,10.0,104
1499,10.0,103
1500,10.0,106
1501,156.0,108
1502,139.0,102
1503,500.0,103
1504,500.0,104
1505,500.0,104
1506,500.0,102
1507,500.0,15
1508,10.0,108
1509,10.0,104
1510,9.0,106
1511,11.0,108
1512,500.0,105
1513,500.0,103
1514,500.0,107
1515,500.0,109
1516,500.0,107
1517,500.0,107
1518,500.0,101
1519,500.0,105
1520,500.0,106
1521,316.0,105
1522,455.0,109
1523,500.0,104
1524,500.0,109
1525,500.0,103
1526,500.0,104
1527,500.0,106
1528,500.0,109
1529,500.0,109
1530,500.0,101
1531,500.0,103
1532,500.0,103
1533,500.0,100
1534,500.0,101
1535,500.0,104
1536,500.0,110
1537,500.0,104
1538,500.0,100
1539,500.0,103
1540,500.0,101
1541,500.0,106
1542,500.0,96
1543,500.0,107
1544,500.0,97
1545,500.0,101
1546,500.0,97
1547,500.0,102
1548,500.0,97
1549,500.0,95
1550,500.0,94
1551,500.0,99
1552,500.0,98
1553,78.0,102
1554,291.0,99
1555,249.0,99
1556,370.0,99
1557,500.0,102
1558,338.0,101
1559,500.0,97
1560,500.0,102
1561,500.0,102
1562,500.0,99
1563,500.0,100
1564,500.0,99
1565,255.0,94
1566,500.0,99
1567,500.0,96
1568,500.0,103
1569,500.0,95
1570,500.0,103
1571,500.0,101
1572,500.0,105
1573,500.0,102
1574,500.0,109
1575,500.0,100
1576,500.0,109
1577,180.0,105
1578,144.0,108
1579,142.0,107
1580,134.0,109
1581,129.0,115
1582,124.0,114
1583,129.0,104
1584,129.0,140
1585,137.0,102
1586,139.0,99
1587,136.0,95
1588,125.0,104
1589,135.0,101
1590,193.0,101
1591,500.0,92
1592,49.0,95
1593,52.0,96
1594,37.0,96
1595,37.0,97
1596,112.0,97
1597,118.0,97
1598,115.0,95
1599,116.0,87
1600,109.0,97
1601,103.0,92
1602,99.0,93
1603,122.0,96
1604,170.0,88
1605,118.0,92
1606,118.0,98
1607,142.0,94
1608,216.0,101
1609,117.0,98
1610,109.0,97
1611,104.0,94
1612,106.0,102
1613,105.0,101
1614,102.0,96
1615,100.0,96
1616,102.0,99
1617,102.0,102
1618,106.0,100
1619,102.0,106
1620,102.0,101
1621,99.0,103
1622,117.0,100
1623,99.0,97
1624,99.0,99
1625,100.0,96
1626,102.0,93
1627,95.0,94
1628,95.0,99
1629,102.0,92
1630,98.0,13
1631,95.0,94
1632,92.0,89
1633,101.0,93
1634,97.0,96
1635,103.0,42
1636,101.0,101
1637,97.0,98
1638,94.0,90
